store_id,item_id,forecast_date,predicted_qty,method
S002,P006,2024-01-09,24.79,RandomForest
S002,P006,2024-01-10,24.91,RandomForest
S002,P006,2024-01-11,24.85,RandomForest
S002,P006,2024-01-12,25.01,RandomForest
S002,P006,2024-01-13,29.68,RandomForest
S002,P006,2024-01-14,29.57,RandomForest
S002,P006,2024-01-15,23.18,RandomForest
S002,P006,2024-01-16,24.74,RandomForest
S002,P006,2024-01-17,24.93,RandomForest
S002,P006,2024-01-18,24.97,RandomForest
S002,P006,2024-01-19,25.15,RandomForest
S002,P006,2024-01-20,29.79,RandomForest
S002,P006,2024-01-21,29.66,RandomForest
S002,P006,2024-01-22,23.23,RandomForest
S002,P006,2024-01-23,24.8,RandomForest
S002,P006,2024-01-24,25.05,RandomForest
S002,P006,2024-01-25,24.99,RandomForest
S002,P006,2024-01-26,25.1,RandomForest
S002,P006,2024-01-27,29.74,RandomForest
S002,P006,2024-01-28,29.53,RandomForest
S002,P006,2024-01-29,22.91,RandomForest
S002,P006,2024-01-30,24.68,RandomForest
S002,P007,2024-01-01,8.08,RandomForest
S002,P007,2024-01-02,8.38,RandomForest
S002,P007,2024-01-03,8.35,RandomForest
S002,P007,2024-01-04,8.27,RandomForest
S002,P007,2024-01-05,8.16,RandomForest
S002,P007,2024-01-06,10.83,RandomForest
S002,P007,2024-01-07,10.59,RandomForest
S002,P007,2024-01-08,8.1,RandomForest
S002,P007,2024-01-09,8.37,RandomForest
S002,P007,2024-01-10,8.3,RandomForest
S002,P007,2024-01-11,8.15,RandomForest
S002,P007,2024-01-12,8.05,RandomForest
S002,P007,2024-01-13,10.8,RandomForest
S002,P007,2024-01-14,10.57,RandomForest
S002,P007,2024-01-15,8.0,RandomForest
S002,P007,2024-01-16,8.29,RandomForest
S002,P007,2024-01-17,8.23,RandomForest
S002,P007,2024-01-18,8.15,RandomForest
S002,P007,2024-01-19,8.08,RandomForest
S002,P007,2024-01-20,10.83,RandomForest
S002,P007,2024-01-21,10.64,RandomForest
S002,P007,2024-01-22,8.13,RandomForest
S002,P007,2024-01-23,8.41,RandomForest
S002,P007,2024-01-24,8.33,RandomForest
S002,P007,2024-01-25,8.22,RandomForest
S002,P007,2024-01-26,8.13,RandomForest
S002,P007,2024-01-27,10.89,RandomForest
S002,P007,2024-01-28,10.74,RandomForest
S002,P007,2024-01-29,8.18,RandomForest
S002,P007,2024-01-30,8.43,RandomForest
S002,P008,2024-01-01,40.88,RandomForest
S002,P008,2024-01-02,44.9,RandomForest
S002,P008,2024-01-03,45.1,RandomForest
S002,P008,2024-01-04,44.98,RandomForest
S002,P008,2024-01-05,45.03,RandomForest
S002,P008,2024-01-06,56.35,RandomForest
S002,P008,2024-01-07,56.3,RandomForest
S002,P008,2024-01-08,40.93,RandomForest
S002,P008,2024-01-09,44.98,RandomForest
S002,P008,2024-01-10,45.19,RandomForest
S002,P008,2024-01-11,44.95,RandomForest
